annual_income,debt_to_income,credit_score,credit_utilization,late_payments_12m,loan_amount,employment_years,default
66094.34159508863,0.29576588241757895,670.256360823628,0.4450233454076805,2,9230.076817544033,0.4669477927348931,1
39200.317875190085,0.2700946746655476,721.6174721780944,0.38933140755065443,1,17570.420450867423,6.505058166220906,1
75009.02391612914,0.40208117881401284,671.86570052295,0.5728087252148462,0,28498.330611269743,4.867657076005941,1
78811.29432782427,0.3802225298354006,829.1065333131539,0.5213466354823453,1,16761.285771702496,2.1391237736163418,0
20979.296226923274,0.1814250142867607,764.3829961976335,0.0,1,21308.937176917723,12.996719934464345,0
33956.40986275364,0.4847213905476486,625.3977788226388,0.5090484408856915,1,19852.902912145295,7.2179083206625965,1
62556.80806334571,0.33869665095789997,624.5578052954345,0.19930411809918325,1,17149.34760855491,10.178226667692831,0
53675.14815312836,0.21668826857411352,687.5757375588282,0.11565425171026023,3,16305.351024073225,5.954391879217487,1
59663.97684991422,0.4926540937224648,582.9584655659452,0.3623053179252873,1,18831.208913849103,10.089800788606924,1
42939.1214485284,0.42508106859153844,743.3030645225989,0.48219422180600235,0,20342.97782532929,7.108367140914512,0
77587.95949725657,0.19825496096625028,678.9280417474866,0.07185307794263512,2,5534.851600642489,14.427794062656796,0
75555.83870857896,0.563261940830927,670.5167128686826,0.5409152834115103,1,16731.120223675185,2.9585276200121036,0
61320.613951224324,0.42905568420394313,704.9562934216654,0.55266776950632,1,13711.45483476878,6.392821079231607,0
82544.82413936066,0.34877646612499447,787.8263906695247,0.40939523925989957,1,12259.31209443804,13.095615789494293,0
69350.18684504091,0.5408262566746135,663.6764281750004,0.2264752739545903,0,24071.75065320001,7.731163968362274,1
42814.15074233523,0.36911573405955683,640.9567703302893,0.20412439916214162,1,9867.976263553026,7.712244050422651,1
67375.01568164998,0.34663003098751616,770.6975698658063,0.6051864263160456,2,5236.616577829987,0.2163530946617564,0
40822.347983420026,0.2707639860773613,727.4040332792908,0.09775546270081903,0,20570.013577700982,10.336762689226902,0
77569.00602614545,0.4198220527168494,624.3216127693022,0.6128940921638357,3,5057.243004122776,2.202893447872,1
59001.481780274946,0.40719235607887755,650.4149158927216,0.3669601681739127,3,1504.3984542900544,8.28705591179325,1
56302.75272909479,0.3517616167867653,665.6304732751039,0.3808331000714286,0,21357.87382992976,9.573568077668286,0
46381.40911192117,0.25520163753588765,678.9450355683987,0.05838245891733501,4,16111.055753937417,0.603256054428309,1
84450.8267734806,0.36559158249992885,541.4720119248709,0.3706566739742827,0,18309.03739158143,14.244512220866346,1
56909.41035862396,0.34162414570854344,526.6012313758752,0.5227171032022753,0,11903.006976542645,1.8197385120066647,1
51433.44355673785,0.18998308175189585,579.0087982398037,0.1327179824296038,1,5309.1570787368655,4.714574322317687,0
52957.32899023541,0.1733825178410977,572.8209245590926,0.4997271734503691,1,6699.489504676327,1.8558416676308251,1
70646.18371106697,0.4178184054571723,598.4940788821998,0.4178024507358046,3,13094.677703981013,0.050888107661331866,1
67308.88128728156,0.03777340219379732,700.7768513672004,0.27124887723353863,1,6093.1799945737075,2.9596628485136236,0
68254.65223191977,0.3746492632353512,636.485667494021,0.5709346172982609,2,17149.37034931957,0.2136548510214244,1
68616.42006015766,0.29263003306954105,665.711568400815,0.0,0,11762.794433759067,2.481440689728906,0
102832.95201740923,0.5069895928255892,552.055727196619,0.4693361497487418,5,16295.252331557138,1.9126382165410736,1
51871.69967230769,0.2907838149015349,613.0686237663244,0.7238870316146585,1,16086.036897585016,8.312761726410242,1
49755.14541856926,0.4291381057102275,696.9806129395872,0.6879886278201324,1,17707.596880971687,4.090066825213246,1
43724.54543504245,0.302370339051465,697.5961966541441,0.4779613441077045,2,18496.37769102299,1.0343243774520154,0
72319.58845150992,0.3636497784183372,592.0340937449673,0.3396638447738308,1,12592.695864545283,1.6819266947516711,1
82579.44585441783,0.43842038371040615,662.9329909103643,0.2728394886904738,2,16287.784866436812,5.889197550709284,1
57721.0508469025,0.2944933140410504,825.9078282785865,0.3394148412188716,1,16652.05689894122,0.7087374500522077,0
43196.870460749444,0.46958658613980847,648.592165659549,0.5087614495835813,1,1000.0,1.4155363473779479,1
43510.375686175204,0.230756254747222,594.5450443086044,0.23855123890811678,0,19525.68022101643,0.17464518746242785,1
